Store_Name,Longitude,Latitude,Address,Address Line #2,City,State,Zip5,Zip4,County,
"7-Eleven 32572",-85.96479,41.651413,"25960 County Road 20","","Elkhart","IN","46517","2309","ELKHART" 
"Walgreens 09318",-86.719353,41.612255,"525 E Lincolnway","","La Porte","IN","46350","3833","LA PORTE" 
"Walgreens 09100",-86.311333,41.357952,"2014 N Michigan St","","Plymouth","IN","46563","1048","MARSHALL" 
"CONVENIENT FOOD MART",-85.990807,39.811272,"2935 N Mitthoeffer Rd","","Indianapolis","IN","46229","1341","MARION" 
"DOLLAR GENERAL 9856*",-85.842125,40.259892,"1900 S Anderson St","","Elwood","IN","46036","3361","MADISON" 
"FAMILY EXPRESS 45",-86.879005,40.863277,"429 N Market St","","Monon","IN","47959","","WHITE" 
"SARAGA INTERNATIONAL GROCERY",-86.228355,39.819115,"3605 Commercial Dr","","Indianapolis","IN","46222","1681","MARION" 
"7-ELEVEN 32572",-86.24398,41.679188,"501 E Lasalle Ave","","South Bend","IN","46617","2725","ST JOSEPH" 
"DOLLAR GENERAL 7394",-85.949455,41.702648,"1800 E Bristol St","","Elkhart","IN","46514","3965","ELKHART" 
"SHERMAN & LINS DISCOUNT GROCERY",-85.831291,41.234253,"1900 E Winona Ave","","Warsaw","IN","46580","4638","KOSCIUSKO" 
"Target Store 2048",-87.469955,41.440079,"9885 Wicker Ave","","Saint John","IN","46373","9413","LAKE" 
"Target Store 2068",-85.764404,38.326244,"1125 Veterans Pkwy","","Clarksville","IN","47129","2371","CLARK" 
"Mon Asian Grocery",-85.137756,41.057404,"3028 S Calhoun St","","Fort Wayne","IN","46807","1408","ALLEN" 
"RABERS KOUNTRY STORE",-86.01899,40.977581,"14493 N State Road 19","","MacY","IN","46951","8121","MIAMI" 
"Halal Market",-86.259209,39.750366,"5768 W Morris St","","Indianapolis","IN","46241","2066","MARION" 
"Fishburn's Farm Market",-85.280167,40.874882,"9110 N 300 W-90","","Markle","IN","46770","9744","WELLS" 
"VIDEO Y DISCOTECA EL CHARRO",-86.901161,40.040527,"113 E Pike St","","Crawfordsville","IN","47933","2513","MONTGOMERY" 
"Walgreens 06691",-87.47123,41.556084,"2401 Ridge Rd","","Highland","IN","46322","1565","LAKE" 
"Walgreens 09488",-85.479866,39.35788,"2215 N State Road 3","","Greensburg","IN","47240","","DECATUR" 
"Walgreens 09711",-87.386086,39.507973,"2040 Lafayette Ave","","Terre Haute","IN","47805","2920","VIGO" 
"PAPA MURPHYS PIZZA",-86.376625,39.710587,"1810 E Main St","","Plainfield","IN","46168","1850","HENDRICKS" 
"JAY-C PLUS 57",-85.672516,38.452126,"9501 Highway 403","","Charlestown","IN","47111","8939","CLARK" 
"HACIENDA SAN MARCOS",-86.732719,41.60088,"1105 W State Road 2","","La Porte","IN","46350","5466","LA PORTE" 
"Casey's General Store 2579",-85.672081,40.258358,"302 E 1st St","","Alexandria","IN","46001","2406","MADISON" 
"Casey's General Store 2580",-86.013153,40.176117,"26602 State Road 19","","Arcadia","IN","46030","9725","HAMILTON" 
"CVS 6603",-86.085709,39.855042,"5005 E 56th St","","Indianapolis","IN","46226","1401","MARION" 
"CVS 6522",-85.219299,41.057793,"2811 Getz Rd","","Fort Wayne","IN","46804","3064","ALLEN" 
"CVS 6510",-85.16407,41.146179,"7330 Lima Rd","","Fort Wayne","IN","46818","1130","ALLEN" 
"RK Incorporated dba 15th Ave Super Duper",-87.402832,41.587997,"5390 W 15th Ave","","Gary","IN","46406","2316","LAKE" 
"CHICAGO AVENUE SUPER DUPER",-87.489265,41.629128,"1312 W Chicago Ave","","East Chicago","IN","46312","3317","LAKE" 
"PATEL BROTHERS",-86.242027,39.830952,"4150 Lafayette Rd","Ste F","Indianapolis","IN","46254","2491","MARION" 
"SEIFERT DRUG",-85.97274,41.685989,"230 S Main St","","Elkhart","IN","46516","3120","ELKHART" 
"7-ELEVEN 30167",-87.427628,41.53698,"845 N Broad St","","Griffith","IN","46319","2230","LAKE" 
"ALDI  3",-85.793877,41.559235,"2036 Lincolnway E","","Goshen","IN","46526","6413","ELKHART" 
"MARTIN'S SUPER MARKET 24",-85.856949,41.595253,"1527 Bashor Rd","","Goshen","IN","46528","1902","ELKHART" 
"DOLLAR TREE 3407",-85.981598,39.858158,"10555 Pendleton Pike","Ste. B-1","Indianapolis","IN","46236","2834","MARION" 
"DEALS 3412",-85.652672,40.071682,"4300 S Scatterfield Rd","","Anderson","IN","46013","2631","MADISON" 
"Dollar Tree 3434",-85.99662,40.032684,"16745 Clover Rd","","Noblesville","IN","46060","3646","HAMILTON" 
"Target Store 1848",-86.137512,39.912609,"1300 E 86th St","Ste 35","Indianapolis","IN","46240","1990","MARION" 
"Target Store 1878",-86.493958,39.164158,"2966 E 3rd St","","Bloomington","IN","47401","5424","MONROE" 
"Target Store 1902",-86.228661,41.629387,"1400 E Ireland Rd","","South Bend","IN","46614","3452","ST JOSEPH" 
"Target Store 1911",-85.885109,39.217911,"1865 N National Rd","","Columbus","IN","47201","5194","BARTHOLOMEW" 
"Target Store 1913",-87.508926,41.568336,"8005 Calumet Ave","","Munster","IN","46321","1217","LAKE" 
"Walmart Supecenter 3435",-86.082695,39.634399,"1133 N Emerson Ave","","Greenwood","IN","46143","6275","JOHNSON" 
"Walmart SUPERCENTER 3747",-85.371147,40.160175,"1501 E 29th St","","Muncie","IN","47302","5890","DELAWARE" 
"DOLLAR GENERAL 6072",-84.87249,41.426311,"106 Baldwin St","","Butler","IN","46721","","DE KALB" 
"DOLLAR GENERAL 10387",-86.127197,39.665123,"6982 Madison Ave","","Indianapolis","IN","46227","","MARION" 
"Dollar General 6923",-86.0224,40.197563,"27069 Cicero Ave","","Atlanta","IN","46031","","HAMILTON" 
"Target Store 1933",-85.063782,41.120327,"6119 Stellhorn Rd","","Fort Wayne","IN","46815","5357","ALLEN" 
"STRACK & VAN TIL 8795",-87.469917,41.440533,"9825 Wicker Ave","","Saint John","IN","46373","9413","LAKE" 
"DPR OIL",-85.115166,41.08989,"1501 N Anthony Blvd","","Fort Wayne","IN","46805","5101","ALLEN" 
"LOS TRES HERMANOS SUPERMARKET CORP",-86.496445,40.278915,"1413 E Wabash St","","Frankfort","IN","46041","2742","CLINTON" 
"Circle K 52",-85.912796,38.288994,"1038 W Knable Rd","","Georgetown","IN","47122","9181","FLOYD" 
"Circle K 66",-85.96785,39.354317,"200 W Main Cross St","","Edinburgh","IN","46124","1347","JOHNSON" 
"Wilbur Corner Shop",-86.486053,39.515995,"3235 State Road 142","","Martinsville","IN","46151","9592","MORGAN" 
"GRABILL SAVE-A-LOT",-84.973351,41.212887,"13325 State St","","Grabill","IN","46741","2012","ALLEN" 
"DOLLAR GENERAL 7453",-85.134705,41.33223,"1364 S Randolph St","","Garrett","IN","46738","1971","DE KALB" 
"DOLLAR GENERAL 10319",-87.405586,38.959183,"235 S Alexander St","","Carlisle","IN","47838","8331","SULLIVAN" 
"Westport Locker City Meat Market",-85.389793,38.770939,"3146 English Sta","","Madison","IN","47250","2397","JEFFERSON" 
"Circle K 126",-85.75872,38.295868,"419 Eastern Blvd","","Clarksville","IN","47129","2837","CLARK" 
"FAMILY EXPRESS 25",-86.328011,41.342556,"1628 W Jefferson St","","Plymouth","IN","46563","1679","MARSHALL" 
"FAMILY EXPRESS 34",-87.273804,41.144474,"11880 W State Road 10","","Demotte","IN","46310","9755","JASPER" 
"FAMILY EXPRESS 35",-87.215836,40.940708,"8805 W State Road 114","","Rensselaer","IN","47978","8812","JASPER" 
"FAMILY EXPRESS 36",-87.156067,40.927631,"754 S College Ave","","Rensselaer","IN","47978","3083","JASPER" 
"FAMILY EXPRESS 37",-87.153656,40.766151,"505 N Maine St","","Remington","IN","47977","8777","JASPER" 
"FAMILY EXPRESS 38",-86.879829,40.446743,"2610 N 9th Street Rd","","Lafayette","IN","47904","1052","TIPPECANOE" 
"FAMILY EXPRESS 39",-86.835487,40.387283,"3983 State Road 38 E","","Lafayette","IN","47905","9464","TIPPECANOE" 
"FAMILY EXPRESS 40",-87.150223,41.187477,"5499 W State Road 10","","Wheatfield","IN","46392","9600","JASPER" 
"FAMILY EXPRESS 42",-87.119553,41.550175,"298 W US Highway 6","","Valparaiso","IN","46385","7911","PORTER" 
"FAMILY EXPRESS 43",-86.840874,40.462292,"3015 State Road 25 N","","Lafayette","IN","47905","8825","TIPPECANOE" 
"FAMILY EXPRESS 50",-86.603348,41.064468,"630 N US Highway 35","","Winamac","IN","46996","8198","PULASKI" 
"FAMILY EXPRESS 52",-87.172852,41.607361,"6250 Ameriplex Dr","","Portage","IN","46368","1391","PORTER" 
